genes,modules
USP22,M3
MT-ND4,M2
PRKDC,M2
FLNA,M3
DUSP1,Not.Correlated
HMGN1,M2
KMT2E,M1
LNPEP,M1
MYB,M1
CYBB,M3
SLC25A5,M2
CD164,M2
HERC1,M2
CTNNB1,M1
HPS4,M2
JUN,M1
KAT6A,Not.Correlated
RFLNB,M3
EIF3L,M2
DOCK8,M1
CAP1,M3
MYO18A,M2
WNK1,M1
RANBP2,M1
TFRC,M1
IKZF1,Not.Correlated
ARHGEF6,M1
SORL1,M3
IRF1,M1
MPP1,M1
H3C10,M1
SLC2A3,M3
KLHL24,M3
S100A9,M3
SSH2,M1
DYRK1A,Not.Correlated
SERINC1,M1
DCP2,M1
CHD1,M1
CBX5,M1
EIF2AK3,Not.Correlated
MSH6,M1
RN7SKP203,M2
MBNL3,M1
STT3B,M1
PDE4B,M2
TENT5C,M1
NIN,M1
PAX5,M1
GAB2,M3
CLK1,Not.Correlated
PRRC2C,M2
NCKAP1L,M1
SYNE3,M1
EMB,M3
PDIA6,M1
RIOK3,M1
KMT2C,M2
EIF5,M1
EBF1,M1
HDGF,M1
EZR,Not.Correlated
FLT3,M1
CD24,Not.Correlated
DDX21,Not.Correlated
ZBTB10,Not.Correlated
GLUL,M1
DOCK11,M1
INSR,M2
MTDH,Not.Correlated
CYFIP2,Not.Correlated
DEFA3,M3
MKI67,M2
MDM4,M2
CHD9,M1
TUBA1A,M1
TRAM1,Not.Correlated
DPYSL2,M1
PAN3,Not.Correlated
XPO1,M1
IRF2BP2,Not.Correlated
PMAIP1,M1
SPTAN1,M1
CCND2,Not.Correlated
GAB1,M1
RPS16,M2
LDLRAD4,M2
ERG,M1
FBXO7,M1
PPP1R15B,M1
CDKN1B,Not.Correlated
ADD3,Not.Correlated
CD53,M1
WIPF1,M1
HSPA5,M1
MKRN1,M1
CDC42SE2,M1
MARCHF8,M1
MT-CYB,M2
CYLD,M1
SMARCA2,M2
MT-ATP6,M2
IFI16,M1
FTL,M1
AFF1,M2
ETS1,M3
IGKC,M1
ADAM10,M1
ERGIC1,M1
PTPRE,M2
GSN,M2
WTAP,M3
RN7SKP255,M2
RIPOR2,M3
XIST,M2
ABHD17B,M1
H1-0,M1
CYTIP,Not.Correlated
ITGB1,Not.Correlated
ARRDC3,Not.Correlated
HDLBP,Not.Correlated
GRK2,M2
ATP2B4,M1
TM9SF3,Not.Correlated
CD9,M1
MEX3C,Not.Correlated
FLNB,Not.Correlated
GBP4,M1
FAM107B,Not.Correlated
H2BC8,Not.Correlated
H2BC15,Not.Correlated
HLA-DMA,Not.Correlated
INO80,Not.Correlated
ARID5B,M2
ZFP36L2,M2
MAN1A1,Not.Correlated
CIITA,M1
SSBP2,M1
TMED10,M1
IRAG2,Not.Correlated
CAT,M1
IL6ST,Not.Correlated
AKNA,M2
TOP2A,M1
JUND,Not.Correlated
PLIN2,M2
CD44,M2
H1-5,Not.Correlated
MSI2,M2
TERF2,Not.Correlated
DCAF12,M1
KLF10,Not.Correlated
PCNA,M1
H2BC11,M1
GAS7,Not.Correlated
BAZ2A,M2
RNF10,M1
H4C3,Not.Correlated
PSD3,M1
NEAT1,M2
SMIM3,Not.Correlated
HBD,M1
RPS26,M2
MCM7,M1
GSPT1,M1
PDLIM1,M2
NASP,M1
SLC4A1,M1
NAMPT,M3
SCARNA5,M1
HLA-DQA1,M1
B4GALT1,Not.Correlated
NAV1,M1
AP1B1,Not.Correlated
RELL1,Not.Correlated
PECAM1,M2
SMAP2,Not.Correlated
IL7R,M2
SDE2,Not.Correlated
CSRNP1,Not.Correlated
ITPR1,M2
SELL,M3
ARHGEF12,M1
FTH1,M1
HSPD1,M2
RBM38,M1
KLF3,M1
PPP1R15A,M1
SYNE2,M2
ITGA6,Not.Correlated
ADIPOR1,M1
SH3BP5,M2
SAT1,M1
DCTN4,Not.Correlated
STOM,M1
BACH2,M2
SERPINB1,M3
CENPF,M2
RN7SKP48,M2
TAGAP,Not.Correlated
UBL3,Not.Correlated
SERINC5,M2
GYPC,M1
FOSL2,Not.Correlated
SNORA73B,M2
UHRF1,M1
FHL1,M1
ITGB2,M3
HLA-DRB5,Not.Correlated
LPAR6,Not.Correlated
TCL6,Not.Correlated
PLEKHG1,M2
AKAP12,Not.Correlated
DDX3Y,Not.Correlated
RN7SL4P,M1
SYNE1,M3
DUSP6,M3
TLE1,Not.Correlated
FYB1,M3
ANK1,M1
MMP8,M3
FECH,M1
CD34,Not.Correlated
TNS1,M1
EEF1A1P6,M2
BPGM,M1
DDIT4,Not.Correlated
SPRY1,Not.Correlated
SLC25A39,M1
ANXA2,Not.Correlated
XAF1,Not.Correlated
FAT1,M2
RN7SKP230,M2
MPO,M3
MAP3K1,Not.Correlated
SNCA,M1
BCAT1,M1
PRDX2,M1
IRF4,M2
KLF9,M2
HK1,M1
IGHG1,M1
DDIT4L,M2
ARL4C,Not.Correlated
PARP8,Not.Correlated
STRADB,M1
EEF1A1P9,M1
IFI27,M1
TRIM58,M1
HEMGN,M1
SPTB,M1
KANK2,M2
BLVRB,M1
CA2,M1
RNU4-2,M2
AHSP,M1
SAMHD1,M3
RN7SL674P,Not.Correlated
CD83,Not.Correlated
CYFIP1,Not.Correlated
F13A1,Not.Correlated
BPI,M3
FAM210B,M1
S100A12,M3
STAG3,M2
NR4A1,M2
PEG10,Not.Correlated
SNORD3A,M2
CEACAM8,M3
CTSG,M3
GPR176,M2
PTPRK,M2
DSC3,Not.Correlated
RPS3AP26,M2
PFKFB2,M2
PROM1,Not.Correlated
MPEG1,Not.Correlated
BEST3,M2
PBX1,Not.Correlated
VAT1L,Not.Correlated
PLS3,Not.Correlated
