genes,modules
EEF1A1,M1
RN7SL1,M1
TPT1,M2
MALAT1,M2
HLA-B,M2
CD74,M1
B2M,M3
MT-CO1,M2
TSC22D3,Not.Correlated
HLA-DRA,M1
RPS4X,M2
RPL4,M2
RPLP0,M2
RPL13A,M2
RPS3A,M2
MT-CO3,M2
RPS6,M2
H3-3B,M2
RPL19,M2
MT-RNR2,M2
RPL9,M2
TXNIP,Not.Correlated
RPS24,M2
CXCR4,Not.Correlated
MME,M1
HNRNPA1,M1
UBC,Not.Correlated
RN7SL3,M1
EEF2,M2
RPS27,M2
RPL5,M2
SPTBN1,Not.Correlated
RPL15,M1
RPS3,M2
RPS18,M2
TMSB4X,Not.Correlated
RPS11,M2
DDX5,M2
LCP1,M3
RPS12,M2
RPL3,M2
RPSA,M2
RPL7A,M2
RPS23,M2
VIM,Not.Correlated
MT-CO2,M2
MSN,Not.Correlated
HMGB1,M1
EIF4B,M1
TUBB,M1
RPL11,M2
PABPC1,M1
ACTB,M3
GAPDH,Not.Correlated
YWHAZ,M2
RPL27A,M2
CDK6,M1
RPL30,M2
CSDE1,Not.Correlated
RPL32,M2
RPL6,M2
NPM1,M2
RPS27A,M2
HBA2,M1
RPS20,M2
RPL23,M2
RPS14,M2
TCF4,M2
RPL21,M2
RN7SKP71,M2
TUBA1B,Not.Correlated
RPL23A,M2
RPL37,M2
GNAS,M2
ARHGDIB,M1
RPL12,M2
HSPA8,M2
NAP1L1,M1
HNRNPU,M1
RPL39,M2
RPL37A,M2
RHOA,M1
RPL10,M2
HSP90AB1,M2
EIF4G2,M2
DNTT,M1
LYZ,M3
LTF,M3
HLA-DRB1,M1
HLA-DPA1,M1
H1-3,Not.Correlated
RPS7,M2
RAG1,Not.Correlated
DDX3X,M2
HSP90AA1,M2
PNRC1,Not.Correlated
UBB,M1
RPLP1,M2
LAPTM5,Not.Correlated
MYH9,M2
HNRNPK,M1
RPS25,M2
RPL14,M2
XBP1,M1
RPL31,M2
ACTG1,M1
RBM39,M2
SF3B1,M1
TMEM123,M2
SRSF3,M2
JMJD1C,M2
TP53INP1,M2
ENO1,M1
TMSB10,M1
NONO,M1
SON,M2
TPM3,Not.Correlated
NCOA4,M1
IGHM,Not.Correlated
MACF1,M2
RNF213,M2
MDM2,M1
PSAP,M3
TRA2B,M2
PPIA,M1
SLC38A1,M2
EDEM1,M1
RPS13,M2
SRGN,M3
EIF2S3,M1
NACA,M2
RBMX,M1
NRIP1,M1
EEF1B2,M2
HLA-A,Not.Correlated
STK17B,Not.Correlated
PTMA,M1
HBA1,M1
UBE2D3,M1
CLTC,Not.Correlated
ALAS2,M1
PIK3AP1,M1
CANX,M1
RPL34,M2
RCSD1,M1
HNRNPH1,M2
RPL27,M2
YBX1,M1
EIF3F,M1
BTF3,M2
HLA-C,Not.Correlated
RPS5,M2
RPS29,M2
HLA-DPB1,M1
SFPQ,Not.Correlated
RPL35A,M2
RPL13,M2
EIF4A2,M1
CCNI,Not.Correlated
RACK1,M2
SET,M1
CFL1,M3
HNRNPA2B1,M2
BTG1,Not.Correlated
GDI2,M2
DDX17,M2
NR3C1,M3
CDC42,M2
RPL7,M2
HIF1A,Not.Correlated
TTC3,Not.Correlated
TMPO,M1
UTRN,M1
EIF1,M1
YBX3,M1
PKM,M1
MACROH2A1,M1
RPL29,M2
CALM1,M2
HMGB2,M1
ADAR,M3
SNORD17,M2
SARAF,M1
PAG1,M2
H1-2,Not.Correlated
HSP90B1,Not.Correlated
TCL1A,M1
BCLAF1,Not.Correlated
SRSF5,M1
RPL24,M2
NCL,M1
DDX6,M1
HLA-E,M1
H1-4,Not.Correlated
MBNL1,Not.Correlated
RN7SKP80,M2
UBE2J1,Not.Correlated
H2AC6,M2
RPS8,M2
NUMA1,M2
SUN2,M1
STAG2,Not.Correlated
ZEB2,M1
RPL38,M2
PGK1,M2
KLF6,Not.Correlated
YPEL5,Not.Correlated
TPM4,M1
MCL1,M3
ETS2,Not.Correlated
HUWE1,M2
HNRNPDL,M1
RPS19,M2
SEPTIN6,M1
UBA52,M2
SLC25A37,M1
GNA13,Not.Correlated
ZCCHC7,M1
CA1,M1
PIK3CG,Not.Correlated
EPB41,M1
RPS2,M2
PIK3R1,Not.Correlated
TLN1,M3
H2BC21,M1
DYNC1H1,M2
S100A8,M3
MTPN,Not.Correlated
RBM3,M1
ELF1,Not.Correlated
LEF1,M1
XRCC5,M1
UBASH3B,M1
SOX4,M1
STMN1,M1
RPL10A,M2
DHX9,M1
EEF1A1P5,M2
FOS,M3
H2BC5,Not.Correlated
NUCKS1,M1
TNFAIP3,M2
HLA-DQB1,M1
ATM,Not.Correlated
CCND3,M1
CLIC1,M1
H2BC4,M2
JAK1,M3
PRKCB,M1
PTP4A2,Not.Correlated
WASF2,M2
PRPF8,M2
BACH1,Not.Correlated
IQGAP1,M1
BTG2,Not.Correlated
TKT,M3
ESYT2,M1
BNIP3L,M1
PARP1,M1
AHNAK,M3
PRDX1,M1
USP9X,M2
SOCS2,M1
SNHG29,M2
SEPTIN9,M1
PREX1,M2
CNOT6L,Not.Correlated
HECA,M1
AKAP13,M2
HMGN2,M1
MX1,Not.Correlated
ITM2B,Not.Correlated
MIB1,M1
AMD1,Not.Correlated
