genes,modules
NONO,M2
RPS8,M4
EPB41,M1
RPS5,M4
TMPO,M2
RN7SL3,M3
PTMA,M1
TMEM123,M1
RBM39,M2
H2BC5,M2
FLNA,M3
TLN1,M3
SFPQ,M3
HMGB2,M2
SRSF3,M2
SON,M2
RPL35A,M4
ATP5F1A,M5
RPL39,M4
DDX17,M5
H1-2,M2
RPL24,M4
CA1,M1
PNRC1,M1
ETS1,Not.Correlated
TRA2B,M2
RPS29,M4
H2BC21,M2
RPL10A,M4
EIF3A,M2
RNF213,M3
RPL27,M4
RN7SKP71,M5
NUCKS1,M2
TENT5C,M1
PKM,M3
BNIP3L,M1
TPM3,M3
TNFAIP3,M3
SELL,M5
H3C10,M2
DDX6,Not.Correlated
RPL34,M4
UBA52,M1
SPTAN1,M1
EIF1,M1
MACROH2A1,M2
STT3B,M1
NUCB2,M1
ATP5F1B,M1
CYFIP2,Not.Correlated
MKI67,M2
TKT,M3
MT-ND4,M2
FAT1,M3
NAMPT,M3
SNHG29,M4
MKRN1,M1
SORL1,M5
LEF1,M2
HNRNPDL,M3
TFRC,M1
RN7SKP80,Not.Correlated
PRKDC,M2
ARL4C,M2
RPL41,M4
PALM2AKAP2,M3
BTG1,M1
DCAF12,M1
EIF2S3,M4
DUSP1,M5
PRPF8,M2
SARAF,M1
RANBP2,M4
H2BC4,M2
HSPA5,M5
HMGN2,M2
FTL,M1
SNORD17,M5
RPS19,M4
SERBP1,M1
ESYT2,M5
SLC38A1,M3
FBXO7,M1
HUWE1,M2
H3C2,M2
DOCK8,M1
AZIN1,Not.Correlated
SLC38A2,M3
HDGF,M1
HIPK1,M1
MYB,M2
DEFA3,M3
FYB1,M5
SLC25A5,M5
GSPT1,M1
RBM3,Not.Correlated
CAPRIN1,M1
CHD1,Not.Correlated
RNF10,M1
H1-5,M2
LNPEP,M1
TUBA1A,M3
AMD1,M5
HLA-A,M3
ITM2B,M3
CBX5,M2
BCL11B,M5
SMG1,M5
ADIPOR1,M1
SNRNP200,M2
CAMK4,M2
TTC3,M5
RN7SKP203,Not.Correlated
FOS,M5
EMB,M3
SYNE2,M2
HLA-C,M3
ERAP1,M1
TPM4,M2
MMP8,M3
HLA-E,M3
RIOK3,M1
MARCHF8,M1
CD74,M3
CAP1,M3
MT-ATP6,M2
EDEM1,M5
H2AZ2,M2
H2AZ1,M2
G3BP1,M1
NREP,M2
NSD2,M2
H3-3A,M4
SEPTIN9,Not.Correlated
BTG2,M2
SRSF10,M2
EEF1A1P5,Not.Correlated
RHOH,Not.Correlated
DEK,M2
TOP2A,M2
ITGB2,M3
GAS5,M4
CD164,M5
SLC2A3,M3
HERC1,M1
CYBB,M3
SERPINB1,M5
MEX3C,Not.Correlated
SLC4A1,M1
MT-CYB,M2
LDLRAD4,M1
MBNL3,M1
H4C8,M2
CENPF,M2
VCAN,M3
H2BC11,M2
H4C3,M2
YBX3,M1
ETV5,M2
GAB2,M2
GYPC,M1
YPEL5,M3
ZBTB10,Not.Correlated
STOM,M1
MCM7,M2
YOD1,M1
MSI2,M5
H2BC15,M2
H2BC18,M2
CD1E,M1
WDR26,M1
LAPTM5,M3
SPN,M5
HIF1A,M3
H2BC8,M2
ALDH1A2,Not.Correlated
HSPD1,M1
DUSP6,M2
TMEM131L,M2
CCND3,M2
HECA,M1
EIF2AK1,M1
PIP4K2A,M1
NEAT1,M1
TP53INP1,M1
CD44,M5
CAT,M1
UGP2,M2
ITM2A,M1
H4C5,M2
MPP1,M1
PMAIP1,M2
SLC25A39,M1
DNTT,M2
BPGM,M1
RFLNB,M3
FECH,M1
ADD3,M3
NFKBIZ,M3
RCBTB2,M1
PDZD8,M5
PAG1,M2
OAZ1,M1
FOXO3,M1
HBD,M1
RPS26,M1
USP1,M2
TRIM58,M1
H2BC6,M2
RAG1,M2
APLP2,M3
S100A12,M3
FKBP8,M1
H2AC8,M2
MT-ND1,M2
SAT1,M3
H2AC11,M2
C9orf78,M1
DNAJB1,M5
ERAP2,M2
RNF11,M1
PLEK,M3
NFKBIA,M3
UBE2H,M1
MAL,Not.Correlated
SSBP2,M5
H2BC3,M2
FGFR1,M2
MYC,M1
CHI3L2,M4
BSG,M1
HLA-DRA,M3
TRBC2,M2
ANK1,M1
MYO7B,M4
RBM38,M1
STRADB,M1
IL7R,M4
SLC44A1,M5
SLC12A6,M5
